id,related_elements,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1409330431455_38784_17320,nan,20.38754,23.087563,13.214069,9.365627,9.717445,22.297601,0.25,0.75,0.75,0.75,0.375,0.25,1,1,1,1,1,1
_18_0_1_ae502ce_1409325801392_806024_17209,nan,23.487413,30.672118,22.513897,22.638891,19.990208,23.781712,0.25,0.75,0.625,0.75,0.75,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1409010217556_321853_14888,nan,27.222231,47.011111,22.822818,24.129926,21.586404,18.275666,0.625,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1420059925757_446831_48795,nan,17.558293,37.175269,15.67916,21.929231,14.329106,16.613835,0.25,0.75,0.375,0.625,0.75,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1409010274683_498539_14948,nan,16.286618,40.422187,28.67432,26.532866,24.279874,24.700778,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1414362441713_422033_46024,nan,18.489688,27.643944,17.191766,20.456894,18.713391,25.159416,0.25,0.75,0.625,0.75,0.75,0.375,1,0,1,1,1,1
_18_0_2_1a82048c_1420248988012_513052_46849,nan,24.207797,27.980644,15.960823,20.5676,23.06555,24.246473,0.375,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1414075627655_19678_44653,nan,12.100823,32.853251,33.470275,26.128314,27.781766,29.175279,0.5,0.625,0.5,0.375,0.25,0.625,0,0,1,1,1,1
_18_0_2_1a82048c_1420248972604_688168_46815,nan,21.658447,29.442206,16.370113,16.365664,27.926773,28.915478,0.5,0.375,0,0.5,0.5,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1416857381478_349550_43739,"<packagedElement xmi:id=""_18_0_1_ae502ce_1414075717402_898899_44716"" name=""Trajectory Failure"" xmi:type=""uml:Class""/>",10.169015,41.388461,5.104981,6.980177,14.292956,15.644292,0.625,0.375,0.625,0.75,0.75,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1414075801049_391175_44845,nan,9.094355,25.146615,23.386732,16.574949,30.382788,16.269498,0.5,0.625,0.25,0.25,0.25,0.25,0,1,1,1,1,1
_18_0_2_1a82048c_1420249367794_482248_47149,nan,27.124761,39.43548,25.074307,26.200743,26.814665,29.681307,0.375,0.75,0.75,0.75,0.75,0.75,0,0,1,1,1,1
_18_0_2_1a82048c_1420249021707_878491_46893,nan,32.090773,62.568943,19.935223,26.096723,22.618576,29.035023,0.625,0.625,0.625,0.625,0.5,0.5,0,1,1,1,1,1
_18_0_1_ae502ce_1419803260749_990213_50889,nan,9.846741,29.465744,8.792293,13.674771,12.783751,14.320661,0.5,0.625,0.5,0.5,0.25,0.25,1,1,1,1,1,1
_18_0_1_ae502ce_1414075733953_72465_44749,"<packagedElement xmi:id=""_18_0_1_ae502ce_1414075717402_898899_44716"" name=""Trajectory Failure"" xmi:type=""uml:Class""/>",10.413449,38.091907,6.913401,7.359,7.360179,8.386402,0.625,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1419800971262_97566_47496,nan,9.99653,26.546692,13.996694,21.051012,22.192393,29.151784,0.5,0.625,0.25,0.25,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1414075780441_515279_44813,nan,7.994693,20.446829,8.726038,17.738215,14.367888,16.176186,0.375,0.5,0.25,0.5,0.5,0.5,1,0,1,1,1,1
_18_0_1_ae502ce_1420128163648_452614_49813,nan,22.868883,36.026349,33.32445,34.535665,39.168294,41.501409,0.5,0.625,0.25,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1414075757447_626038_44781,"<packagedElement xmi:id=""_18_0_1_ae502ce_1414075717402_898899_44716"" name=""Trajectory Failure"" xmi:type=""uml:Class""/>",8.721368,24.0177,8.98763,9.148635,11.589081,8.006696,0.375,0.625,0.375,0.75,0.375,0.5,1,1,1,1,1,1
_18_1_ae502ce_1424566385736_292306_62589,nan,47.648907,26.56437,16.166164,17.057955,16.545548,20.564026,0.5,0.625,0.625,0.375,0.25,0.625,1,0,1,1,0,1
_18_0_1_ae502ce_1414075700179_517574_44685,nan,24.360846,27.943351,15.445975,28.459061,22.206586,34.008742,0.375,0.625,0.5,0.5,0.25,0.5,1,0,1,0,1,0
_18_0_1_ae502ce_1414075717402_308257_44717,nan,21.633577,26.44054,20.568604,23.538691,16.818973,30.402873,0.625,0.625,0,0.625,0.625,0.5,1,1,1,1,1,1
_18_0_1_ae502ce_1419803290038_842157_50925,nan,16.164957,49.989138,14.62047,17.086872,19.032909,31.680955,0.5,0.625,0.5,0.25,0.5,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1419801134204_809553_47634,nan,15.090015,30.928226,20.465194,41.387923,33.45967,38.982128,0.625,0.25,0.625,0.625,0.625,0.5,1,0,1,1,1,1
_18_0_1_ae502ce_1414075847599_72328_44877,nan,22.423609,34.043394,28.012151,28.851436,27.838267,28.122126,0.25,0.625,0.375,0.375,0.625,0.375,1,0,1,1,1,1
_18_5_1_9250291_1506473511941_684275_53837,nan,36.624765,42.719412,38.986933,29.852699,32.647901,38.629824,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_2_1a82048c_1420311873198_834346_47776,nan,28.119107,48.413361,27.929779,43.905869,32.832641,47.281658,0.625,0.75,0.625,0.625,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419802220437_71786_50270,nan,13.181525,33.281737,32.872747,22.923697,29.447697,33.061881,0.5,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_1_ae502ce_1424566414859_543800_62632,nan,23.594671,34.263847,26.01338,18.936819,18.261968,21.388459,0.625,0.625,0.625,0.5,0.5,0.5,0,1,1,1,1,1
_18_0_1_ae502ce_1409010313636_34109_14980,nan,52.666642,46.340174,56.100797,56.709732,65.291677,66.95053,0.75,0.75,0.875,0.75,0.75,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1419800939187_147665_47456,nan,17.427774,29.882674,21.557783,42.072498,41.308917,46.429107,0.25,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
