id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_ae502ce_1419976460470_813353_49460,11.606544,28.144995,13.050681,10.298058,15.278624,12.37151,0.25,0.25,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419976405261_996574_49379,16.092314,35.027947,23.601056,21.8548,23.262398,21.071446,0.375,0.375,0.375,0.375,0.375,0.625,0,1,1,1,1,1
_18_0_1_ae502ce_1419976485945_859890_49513,14.619973,25.55822,13.505011,11.045222,15.048702,12.275072,0.75,0.625,0.75,0.875,0.875,0.875,1,0,1,1,1,1
_18_0_1_ae502ce_1414338951757_818536_45443,18.727708,24.397277,16.126296,16.427809,19.096364,15.826534,0.75,0.625,0.75,0.75,0.875,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1414339010562_322590_45485,14.118326,23.032707,14.072101,12.128947,15.614184,13.365287,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1414338920760_621271_45402,21.092118,34.603166,19.923163,24.000666,25.54398,24.838209,0.625,0.75,0.75,0.75,0.75,0.75,1,0,1,1,1,1
_18_0_1_ae502ce_1409009668791_925342_14413,32.215479,59.721683,16.785869,24.350136,31.220433,26.483436,0.5,0.25,0.25,0.5,0.5,0.5,1,0,1,1,1,1
_18_0_1_ae502ce_1414339178980_979465_45733,23.066691,103.081689,22.210267,27.026522,29.522206,29.03272,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409009582835_743750_14298,29.693841,90.109458,22.390616,22.825839,24.283519,30.167669,0.5,0.625,0.5,0.625,0.625,0.625,1,0,1,1,1,1
_18_0_1_ae502ce_1419976391798_383012_49332,42.54011,31.067397,20.980708,22.71971,25.897514,25.167193,0.25,0.75,0.75,0.75,0.75,0.75,1,0,1,1,1,1
_18_0_1_ae502ce_1418498498411_307915_45071,21.589293,19.982198,10.50118,11.76621,14.875142,13.809738,0.625,0.5,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1419976363203_911393_49275,39.183842,43.184392,36.645687,26.927889,28.858585,19.638953,0.75,0.625,0.75,0.75,0.75,0.625,0,1,1,1,1,1
_18_0_1_ae502ce_1418498442781_192786_44948,14.377047,29.586098,12.276621,32.247096,16.064122,15.143859,0.625,0.75,0.625,0.75,0.625,0.625,1,0,1,1,1,1
_18_0_1_ae502ce_1415638805174_588877_44999,12.999073,37.037605,14.75123,16.17031,19.511571,23.644311,0.75,0.875,0.875,0.75,0.875,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409161510139_260462_14324,28.839164,71.708158,27.43309,25.266702,27.200695,31.310402,0.625,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1415638726238_280116_44927,26.021085,105.725376,25.272851,31.402406,29.53642,38.07394,0.625,0.75,0.25,0.75,0.75,0.75,0,1,1,1,1,1
